tweetid,timestamp,printname,screenname,verified,body,quotescreenname,quotetext,likes,retweets
1108548456052940802,6:58 PM - 20 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,Because “no tax evasion” and “no insurance fraud” don’t quite have the same ring to it. https://twitter.com/atrupar/status/1108486334883250178 …,atrupar,"Instead of saying “hi” Trump now greets people with, “no collusion, no collusion.”  pic.twitter.com/Pj70oF0DgG",84647,14872
1102989269264678912,9:48 AM - 5 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"“I always thought that if more good people had concealed carry permits,then we could end these Muslims before they [unintelligible].”

This was just this weekend at CPAC, the conference attended by the President and members, to 1000s.

Where’s the resolution against Islamophobia? https://twitter.com/TalbertSwan/status/1102929640082034688 …",TalbertSwan,".@JerryFalwellJr threatened to shoot @AOC if she tried to ‘take his cows’ during #CPAC. 

Here he threatens to kill Muslims: “...if more good people had conceale…",62929,18397
1110586439409025024,9:56 AM - 26 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,GOP Senators are using their Congressional allowances to print Aquaman posters for themselves to argue that a #GreenNewDeal saving our nation from climate change is a ‘waste of money’  https://twitter.com/_waleedshahid/status/1110577314612547584 …,_waleedshahid,"Senator Mike Lee (R-UT) is on the Senate floor right now discussing @AOC and @SenMarkey's Green New Deal. 

These are not photoshopped.  pic.twitter.com/j8YWahtR1j",42669,10424
1102949689656258560,7:11 AM - 5 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"If you ever wonder why the GOP targets Pelosi more than Schumer, or Waters more than male committee chairs (despite having equal or similar positions of power) this is part of the reason why  https://twitter.com/lannadelgrey/status/1102946739789676544 …",lannadelgrey,"“The idea that a woman can be as powerful as a man is something that our society can’t deal with."" -- @AOC   https://www.huffpost.com/entry/alexandria-ocasio-cortez-i-am-as-powerful-as-a-man-and-it-drives-critics-crazy_n_5c7e7afee4b0129e36bec96e?8ro …",33111,6728
1108563593304436736,7:58 PM - 20 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Sandy Hook happened 6 years ago and we can’t even get the Senate to hold a vote on universal background checks w/ #HR8.

Christchurch happened, and within days New Zealand acted to get weapons of war out of the consumer market.

This is what leadership looks like  https://twitter.com/keithboykin/status/1108559359607521282 …",keithboykin,"“Today I am announcing that New Zealand will ban all military-style semi-automatic weapons.” - New Zealand Prime Minister Jacinda Arden

…",198275,50241
1103822417162616833,4:59 PM - 7 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Hidden gem: Rep. @katieporteroc on Financial Services 

She consistently delivers incredible lines of questioning (and frequently adds a dash of humor).  https://twitter.com/RealBankReform/status/1103724736595546112 …",RealBankReform,"The DIRECTOR OF THE BUREAU MEANT TO #PROTECTCONSUMERS cannot even BALLPARK the APR of a short-term payday loan. So *how* does @CFPB Dir. Kraninger expect consumers to? 
…",11589,2504
1107432962751168518,5:06 PM - 17 Mar 2019,Washington Post Opinions,PostOpinions,True,"An op-ed from @IlhanMN:
 
I've seen firsthand the devastating toll of war. We need an inclusive foreign policy.  https://wapo.st/2TWdW20  pic.twitter.com/MvWJZN3dmX",,,4165,979
1110913863707447297,7:37 AM - 27 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"3,000 Americans died in Hurricane María. The Midwest is drowning as we speak. 100s of Flint families were pumped w/ poisoned water & our water infrastructure is imperiled across the country.

GOP thinks this is a joke.

They choose to laugh+delay.
We choose to lead.
#GreenNewDeal https://twitter.com/guardian/status/1110854289579216897 …",guardian,"Congresswomen Alexandria Ocasio-Cortez gave an impassioned speech during a committee hearing in response to Republicans push-back on her climate change policy, the Green New Deal  pic.twitter.com/piPwE6ftd5",129667,40171
1107043822415069186,3:19 PM - 16 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"I LOVE how fired up our NY-14 town halls get. This is New York City!

Getting fired up means you care. I’d never discount the passion and courage it takes to stand up at a town hall.

So this was a great moment and an awesome opportunity to have this honest conversation.  https://twitter.com/freedlander/status/1107014149819846657 …",freedlander,Specialized high school parents heckle @aoc at an education town hall and you won’t believe what happens next  pic.twitter.com/JiewjeJQWU,36875,5617
1111289977143545856,8:32 AM - 28 Mar 2019,Adam Schiff,RepAdamSchiff,True,"I say this to the President, and his defenders in Congress:

You may think it’s okay how Trump and his associates interacted with Russians during the campaign.

I don’t.

I think it’s immoral. I think it’s unethical. I think it’s unpatriotic. And yes, I think it’s corrupt. pic.twitter.com/nTdgRVfssQ",,,261935,84606
1111116797682569216,9:04 PM - 27 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Look at this picture.

When you’re looking at this photo, you’re looking at a mirror. This is America. This is Texas. This is our the course of action, the one we chose.

I cannot and will not accept it.

#EndFamilySeparation&
#AbolishICE &
#ReuniteFamilies &
Stop #BackersOfHate https://twitter.com/NickMiroff/status/1110958165250764800 …",NickMiroff,"This is El Paso right now, where hundreds of migrant families are being held in the parking lot of a Border Patrol station because there is no room for them inside, or anywhere else.  pic.twitter.com/lFGZ9zRcZk",87772,33596
1106397503795142656,8:31 PM - 14 Mar 2019,Women's March,womensmarch,True,"Terrifying and absolutely devastating 

To our Muslim community: we see you, we are with you, and we will not rest until you no longer have to live in fear.

Non-Muslims: check in on your Muslim friends and family. We must love and protect each other. https://www.buzzfeed.com/richardhjames/serious-firearms-incident-in-christchurch …",,,12015,3593
1108200531737104386,7:56 PM - 19 Mar 2019,Eric Holthaus,EricHolthaus,True,Kudos to @chrislhayes and @AOC for this hour-long primetime discussion on the biggest challenge we face as a species and a path to a future that works for everyone. https://twitter.com/MSNBC/status/1108180575171559424 …,MSNBC,"NEW: Rep. Ocasio-Cortez will join @chrislhayes to discuss the ""Green New Deal"" during a special event in the Bronx on Friday, March 29, at 8 p.m. ET.   https://on.msnbc.com/2HwRUgo   pic.twitter.com/lVkqzyFxx5",6235,918
1103138858374451200,7:42 PM - 5 Mar 2019,Rashida Tlaib,RashidaTlaib,True,"I am so honored to serve with @IlhanMN, an incredible courageous woman. Every time I worry about her and the ugly attacks, I remember what she said to me two months ago: ""I survived war, I can survive this."" https://twitter.com/RashaMK/status/1102801481177149440 …",RashaMK,“I don’t ever want you to worry about me. I am fine. I know what my mission is. I know what my purpose is. I know that as long as I breathe that I will continue to make people uncomfortable in the best way possible” @IlhanMN is strong but we will NOT be…,68845,13273
